Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Price
Asus,Notebook,Windows,Intel,Intel,4,2.0,0,2.5,0.0,0.256,136.7948717948718,31232.203200000004
MSI,Gaming,Windows,Intel,Nvidia,16,2.43,0,2.8,2.0,0.256,173.41040462427745,130482.72
Asus,Notebook,Linux,Intel,Intel,4,2.0,0,2.0,0.0,0.256,192.30769230769232,22111.2
Dell,Notebook,Windows,Intel,AMD,16,2.8,0,1.8,2.0,0.256,173.41040462427745,69210.72
Dell,Ultrabook,Windows,Intel,Intel,8,1.7,0,1.6,0.0,0.256,214.28571428571428,46833.12
Lenovo,Notebook,No,Intel,Intel,8,1.7,0,2.7,0.0,0.256,214.28571428571428,31914.72
Asus,Notebook,Windows,Intel,Intel,8,1.4,0,1.6,0.0,0.256,214.28571428571428,50136.48
HP,Notebook,Windows,Intel,Intel,8,1.86,0,2.5,0.0,0.256,192.30769230769232,36763.2
Asus,Ultrabook,Windows,Intel,Nvidia,16,1.8,0,2.8,0.0,0.512,192.30769230769232,105654.24
HP,Notebook,Windows,Intel,AMD,4,1.86,0,2.0,0.5,0.0,136.7948717948718,23373.4032
HP,Notebook,Windows,Intel,Intel,4,1.44,0,1.6,0.0,0.032,152.42857142857142,12201.12
Lenovo,Notebook,Windows,Intel,Intel,4,1.9,0,2.5,1.0,0.0,192.30769230769232,29250.72
Asus,Gaming,Linux,Intel,Nvidia,12,3.0,0,2.8,1.0,0.0,173.41040462427745,50562.72
others,Ultrabook,Windows,Intel,Intel,4,1.252,1,2.5,0.0,0.128,278.51851851851853,58021.92
Dell,Ultrabook,Windows,Intel,AMD,8,1.4,0,1.8,0.0,0.256,225.56390977443607,50882.4
Dell,Notebook,Windows,Intel,AMD,8,2.2,0,1.8,0.0,0.256,192.30769230769232,46353.6
MSI,Gaming,Windows,Intel,Nvidia,8,2.7,0,2.5,1.0,0.128,173.41040462427745,58341.6
Acer,Notebook,Windows,Intel,Intel,8,2.1,0,2.0,1.0,0.0,152.42857142857142,20725.92
Asus,Gaming,Windows,Intel,Nvidia,8,2.2,0,2.8,1.0,0.0,192.30769230769232,50562.72
Lenovo,Notebook,No,Intel,Intel,8,2.2,0,2.5,2.0,0.0,192.30769230769232,27652.32
Dell,Notebook,Windows,Intel,Intel,8,2.02,0,1.8,1.0,0.128,192.30769230769232,45554.4
